pk_interaction,fk_client,fk_produit,fk_canal,fk_type_transaction,fk_gestionnaire,fk_compte,fk_statut,fk_date,montant_transaction,frais_transaction,solde,nombre_operations,date_interaction
1,2894488586,25,1,12,20027,55867626257,1,2024-06-08,58526,352,174814,1,2024-06-08
2,2894488586,19,1,6,20027,55867626257,1,2024-12-07,14670,77,174814,1,2024-12-07
3,2894488586,30,2,8,20027,55867626257,1,2025-11-13,430608,2429,174814,1,2025-11-13
4,2894488586,4,2,10,20027,55867626257,1,2024-04-11,0,0,174814,1,2024-04-11
5,2894488586,18,1,10,20027,55867626257,1,2025-10-02,0,0,174814,1,2025-10-02
6,2894488586,7,2,10,20027,55867626257,1,2025-11-04,0,0,174814,1,2025-11-04
7,2894488586,12,1,3,20027,55867626257,1,2025-01-20,3180150,15534,174814,1,2025-01-20
8,2894488586,32,1,3,20027,55867626257,1,2025-01-22,283052,4524,174814,1,2025-01-22
9,2894488586,29,2,1,20027,55867626257,1,2024-11-14,1450534,25992,174814,1,2024-11-14
10,7605937692,22,1,10,20013,20403344937,1,2025-05-11,0,0,245552227,2,2025-05-11
11,7605937692,23,1,10,20013,20403344937,1,2026-04-02,0,0,245552227,1,2026-04-02
12,7605937692,15,1,1,20013,20403344937,1,2025-01-30,1991274,22432,245552227,1,2025-01-30
13,9513756687,11,1,3,20048,68507374635,2,2026-01-24,3288522,42896,81841,1,2026-01-24
14,9513756687,26,2,12,20048,68507374635,1,2026-08-26,80280,1,81841,1,2026-08-26
15,9513756687,3,2,4,20048,68507374635,1,2025-01-29,1485265,5410,81841,1,2025-01-29
16,9513756687,29,1,3,20048,68507374635,1,2026-04-01,1296697,20456,81841,1,2026-04-01
17,9513756687,27,2,12,20048,68507374635,1,2024-02-08,78513,969,81841,1,2024-02-08
18,9513756687,28,2,1,20048,68507374635,2,2024-06-11,951452,8650,81841,1,2024-06-11
19,9513756687,29,1,12,20048,68507374635,1,2024-08-19,46240,194,81841,1,2024-08-19
20,9513756687,8,1,10,20048,68507374635,2,2025-02-13,0,0,81841,1,2025-02-13
21,9513756687,19,2,5,20048,68507374635,1,2025-05-23,148580,2934,81841,1,2025-05-23
22,9513756687,28,1,3,20048,68507374635,1,2025-07-25,2686157,7094,81841,1,2025-07-25
23,9513756687,14,1,2,20048,68507374635,2,2024-12-03,553347,9806,81841,1,2024-12-03
24,9513756687,3,2,3,20048,68507374635,1,2024-04-18,2260915,9942,81841,1,2024-04-18
25,9513756687,12,1,3,20048,68507374635,1,2026-01-19,763617,2131,81841,1,2026-01-19
26,9513756687,7,2,7,20048,68507374635,1,2024-02-10,130698,2342,81841,1,2024-02-10
27,9513756687,29,2,12,20048,68507374635,1,2026-05-12,84705,1402,81841,1,2026-05-12
28,9513756687,13,1,9,20048,68507374635,1,2026-07-31,803021,658,81841,1,2026-07-31
29,9093651530,27,2,13,20011,45218034198,1,2026-04-07,843430,5352,282702,1,2026-04-07
30,9093651530,5,2,4,20011,82170684552,1,2024-11-30,417132,3459,2710570,1,2024-11-30
31,9093651530,24,2,12,20011,45218034198,1,2026-02-22,34518,620,282702,1,2026-02-22
32,9093651530,23,1,11,20011,82170684552,1,2024-02-05,0,0,2710570,1,2024-02-05
33,9093651530,12,1,5,20011,82170684552,1,2026-05-26,95937,159,2710570,1,2026-05-26
34,9093651530,29,1,1,20011,45218034198,1,2025-08-09,1374505,5319,282702,1,2025-08-09
35,9093651530,19,2,10,20011,45218034198,1,2026-08-06,0,0,282702,1,2026-08-06
36,9093651530,29,2,12,20011,45218034198,1,2025-04-26,23731,321,282702,3,2025-04-26
